m,TagName,
"2010-12-01 00:00:00","java","5670"
"2010-12-01 00:00:00","javascript","4957"
"2010-12-01 00:00:00","perl","500"
"2010-12-01 00:00:00","php","5379"
"2010-12-01 00:00:00","python","2481"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","ruby","1021"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","134"
"2011-01-01 00:00:00","c","1458"
"2011-01-01 00:00:00","c#","7978"
"2011-01-01 00:00:00","c++","3484"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6530"
"2011-01-01 00:00:00","javascript","5417"
"2011-01-01 00:00:00","perl","477"
"2011-01-01 00:00:00","php","6409"
"2011-01-01 00:00:00","python","2895"
"2011-01-01 00:00:00","r","249"
"2011-01-01 00:00:00","ruby","1201"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","146"
"2011-02-01 00:00:00","c","1633"
"2011-02-01 00:00:00","c#","8211"
"2011-02-01 00:00:00","c++","3439"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6864"
"2011-02-01 00:00:00","javascript","5588"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","php","6696"
"2011-02-01 00:00:00","python","3011"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1248"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","192"
"2011-03-01 00:00:00","c","2109"
"2011-03-01 00:00:00","c#","9986"
"2011-03-01 00:00:00","c++","4176"
"2011-03-01 00:00:00","delphi","518"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8466"
"2011-03-01 00:00:00","javascript","6766"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8087"
"2011-03-01 00:00:00","python","3747"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1639"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2035"
"2011-04-01 00:00:00","c#","9279"
"2011-04-01 00:00:00","c++","4162"
"2011-04-01 00:00:00","delphi","401"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7896"
"2011-04-01 00:00:00","javascript","6882"
"2011-04-01 00:00:00","perl","550"
"2011-04-01 00:00:00","php","7639"
"2011-04-01 00:00:00","python","3335"
"2011-04-01 00:00:00","r","476"
"2011-04-01 00:00:00","ruby","1476"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1822"
"2011-05-01 00:00:00","c#","10007"
"2011-05-01 00:00:00","c++","3882"
"2011-05-01 00:00:00","delphi","473"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8563"
"2011-05-01 00:00:00","javascript","7318"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","php","8093"
"2011-05-01 00:00:00","python","3515"
"2011-05-01 00:00:00","r","426"
"2011-05-01 00:00:00","ruby","1565"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1763"
"2011-06-01 00:00:00","c#","9753"
"2011-06-01 00:00:00","c++","3807"
"2011-06-01 00:00:00","delphi","455"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7902"
"2011-06-01 00:00:00","javascript","7681"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","8030"
"2011-06-01 00:00:00","python","3467"
"2011-06-01 00:00:00","r","444"
"2011-06-01 00:00:00","ruby","1558"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","141"
"2011-07-01 00:00:00","c","1657"
"2011-07-01 00:00:00","c#","9608"
"2011-07-01 00:00:00","c++","3849"
"2011-07-01 00:00:00","delphi","429"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8153"
"2011-07-01 00:00:00","javascript","8112"
"2011-07-01 00:00:00","perl","658"
"2011-07-01 00:00:00","php","8675"
"2011-07-01 00:00:00","python","3659"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1584"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c","1824"
"2011-08-01 00:00:00","c#","10064"
"2011-08-01 00:00:00","c++","3952"
"2011-08-01 00:00:00","delphi","423"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8686"
"2011-08-01 00:00:00","javascript","8905"
"2011-08-01 00:00:00","perl","612"
"2011-08-01 00:00:00","php","8916"
"2011-08-01 00:00:00","python","3824"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1858"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","155"
"2011-09-01 00:00:00","c","1914"
"2011-09-01 00:00:00","c#","9304"
"2011-09-01 00:00:00","c++","3943"
"2011-09-01 00:00:00","delphi","414"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8320"
"2011-09-01 00:00:00","javascript","8190"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","8065"
"2011-09-01 00:00:00","python","3514"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1546"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","212"
"2011-10-01 00:00:00","c","2138"
"2011-10-01 00:00:00","c#","9223"
"2011-10-01 00:00:00","c++","4346"
"2011-10-01 00:00:00","delphi","465"
"2011-10-01 00:00:00","go","40"
"2011-10-01 00:00:00","java","8562"
"2011-10-01 00:00:00","javascript","8033"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","php","8066"
"2011-10-01 00:00:00","python","3620"
"2011-10-01 00:00:00","r","620"
"2011-10-01 00:00:00","ruby","1612"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c","2197"
"2011-11-01 00:00:00","c#","9908"
"2011-11-01 00:00:00","c++","4478"
"2011-11-01 00:00:00","delphi","507"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9642"
"2011-11-01 00:00:00","javascript","8689"
"2011-11-01 00:00:00","perl","606"
"2011-11-01 00:00:00","php","8684"
"2011-11-01 00:00:00","python","3877"
"2011-11-01 00:00:00","r","606"
"2011-11-01 00:00:00","ruby","1740"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","228"
"2011-12-01 00:00:00","c","2003"
"2011-12-01 00:00:00","c#","9318"
"2011-12-01 00:00:00","c++","4358"
"2011-12-01 00:00:00","delphi","573"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9209"
"2011-12-01 00:00:00","javascript","8338"
"2011-12-01 00:00:00","perl","538"
"2011-12-01 00:00:00","php","8340"
"2011-12-01 00:00:00","python","3621"
"2011-12-01 00:00:00","r","614"
"2011-12-01 00:00:00","ruby","1683"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2233"
"2012-01-01 00:00:00","c#","10448"
"2012-01-01 00:00:00","c++","4547"
"2012-01-01 00:00:00","delphi","513"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10141"
"2012-01-01 00:00:00","javascript","9608"
"2012-01-01 00:00:00","perl","563"
"2012-01-01 00:00:00","php","9310"
"2012-01-01 00:00:00","python","4211"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1904"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","232"
"2012-02-01 00:00:00","c","2407"
"2012-02-01 00:00:00","c#","10759"
"2012-02-01 00:00:00","c++","5105"
"2012-02-01 00:00:00","delphi","472"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10950"
"2012-02-01 00:00:00","javascript","9998"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","php","9925"
"2012-02-01 00:00:00","python","4493"
"2012-02-01 00:00:00","r","813"
"2012-02-01 00:00:00","ruby","2044"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","262"
"2012-03-01 00:00:00","c","2726"
"2012-03-01 00:00:00","c#","11596"
"2012-03-01 00:00:00","c++","5233"
"2012-03-01 00:00:00","delphi","497"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12394"
"2012-03-01 00:00:00","javascript","10713"
"2012-03-01 00:00:00","perl","608"
"2012-03-01 00:00:00","php","10888"
"2012-03-01 00:00:00","python","5031"
"2012-03-01 00:00:00","r","888"
"2012-03-01 00:00:00","ruby","2191"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","277"
"2012-04-01 00:00:00","c","2667"
"2012-04-01 00:00:00","c#","11128"
"2012-04-01 00:00:00","c++","5302"
"2012-04-01 00:00:00","delphi","482"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","12026"
"2012-04-01 00:00:00","javascript","10675"
"2012-04-01 00:00:00","perl","598"
"2012-04-01 00:00:00","php","10400"
"2012-04-01 00:00:00","python","4917"
"2012-04-01 00:00:00","r","840"
"2012-04-01 00:00:00","ruby","1968"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","227"
"2012-05-01 00:00:00","c","2482"
"2012-05-01 00:00:00","c#","11576"
"2012-05-01 00:00:00","c++","4991"
"2012-05-01 00:00:00","delphi","480"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12180"
"2012-05-01 00:00:00","javascript","11522"
"2012-05-01 00:00:00","perl","643"
"2012-05-01 00:00:00","php","10924"
"2012-05-01 00:00:00","python","5094"
"2012-05-01 00:00:00","r","874"
"2012-05-01 00:00:00","ruby","1976"
"2012-05-01 00:00:00","swift","6"
"2012-06-01 00:00:00","assembly","201"
"2012-06-01 00:00:00","c","2310"
"2012-06-01 00:00:00","c#","11319"
"2012-06-01 00:00:00","c++","4651"
"2012-06-01 00:00:00","delphi","418"
"2012-06-01 00:00:00","go","72"
"2012-06-01 00:00:00","java","11101"
"2012-06-01 00:00:00","javascript","11225"
"2012-06-01 00:00:00","perl","740"
"2012-06-01 00:00:00","php","10564"
"2012-06-01 00:00:00","python","5276"
"2012-06-01 00:00:00","r","973"
"2012-06-01 00:00:00","ruby","1888"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","202"
"2012-07-01 00:00:00","c","2371"
"2012-07-01 00:00:00","c#","12314"
"2012-07-01 00:00:00","c++","5274"
"2012-07-01 00:00:00","delphi","440"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12243"
"2012-07-01 00:00:00","javascript","12317"
"2012-07-01 00:00:00","perl","666"
"2012-07-01 00:00:00","php","11719"
"2012-07-01 00:00:00","python","5723"
"2012-07-01 00:00:00","r","1119"
"2012-07-01 00:00:00","ruby","2059"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2315"
"2012-08-01 00:00:00","c#","11935"
"2012-08-01 00:00:00","c++","5157"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12246"
"2012-08-01 00:00:00","javascript","12434"
"2012-08-01 00:00:00","perl","762"
"2012-08-01 00:00:00","php","11874"
"2012-08-01 00:00:00","python","5859"
"2012-08-01 00:00:00","r","1089"
"2012-08-01 00:00:00","ruby","2060"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","224"
"2012-09-01 00:00:00","c","2528"
"2012-09-01 00:00:00","c#","11263"
"2012-09-01 00:00:00","c++","4907"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","go","130"
"2012-09-01 00:00:00","java","11613"
"2012-09-01 00:00:00","javascript","11164"
"2012-09-01 00:00:00","perl","662"
"2012-09-01 00:00:00","php","10973"
"2012-09-01 00:00:00","python","5248"
"2012-09-01 00:00:00","r","1057"
"2012-09-01 00:00:00","ruby","1955"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3151"
"2012-10-01 00:00:00","c#","12713"
"2012-10-01 00:00:00","c++","5907"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13479"
"2012-10-01 00:00:00","javascript","12418"
"2012-10-01 00:00:00","perl","683"
"2012-10-01 00:00:00","php","11761"
"2012-10-01 00:00:00","python","6127"
